Key,Category,Item,Household Goods Receipt /Shopping Category,StockCat,Type
Comforters,Household Items,,,Comforters,
Decorative Glass,Kitchen Items,,,Decorative Glass,
Glasses,Kitchen Items,,,Glasses,
CONTAINERS,Kitchen Items,,,Storage,
ALCLOCK,Appliances,Alarm Clock,,Alarm Clock,
BEDPILLOW,Household Items,Bed Pillows,,Bed Pillows,
BLENDER,Appliances,Blender,,Blender,
COFFEE,Appliances,Coffee Maker,,Coffee Maker,
C0-0716-01,Living Room,Couch,,Couch,
JBE-0623-01,Kitchen and Dining Tables and Chairs,Counter Height Bench,,Counter Height Bench,
DECGLASS,Kitchen Items,Decorative Glass,,Decorative Glass,
SKU-0716-06,Lamps,Desk Lamp,,Desk Lamp,
DISHRACK,Kitchen Items,Dish Rack,,Dish Rack,
EGRILL,Kitchen Items,Electric Grill,,Electric Grill,
FFAN,Household Items,Floor Fan,,Floor Fan,
HMIXER,Appliances,Hand Mixer (Copy),,Hand Mixer (Copy),
IBLEND,Appliances,Immersion Blender,,Immersion Blender,
IRON,Household Items,Iron,,Iron,
KCOF,Appliances,Keurig Coffee Maker,,Keurig Coffee Maker,
NKM-0812-01,"King, Queen, Full Beds",King Mattress,,King Mattress,
LCOF,Appliances,Large Coffee Maker,,Large Coffee Maker,
LCROCK,Appliances,large crockpot,,large crockpot,
LFOODPROC,Appliances,Large Food Processor,,Large Food Processor,
LGTV,Appliances,Large TV,,Large TV,
PLASTICDISH,Household Items,Plastic Dishes,,Plastic Dishes,
POWER,,Power Strip,,,
a F-0815-02,,Queen Bed Frame,,,
SE-0817-01,,Sectional Couch for Five or More,,,
SERVING,Kitchen Items,Serving Dishes,,Serving Dishes,
C-0813-07,,Set of 2 Kitchen Chairs,,,
PSEW,,Sewing Machine,,,
SR-0807-01,,Side Table,,,
SCOF,Appliances,Small Coffee Maker,,Small Coffee Maker,
SCROCK,Appliances,small crockpot,,small crockpot,
SFAN,,Small Fan,,,
SFOODPROC,Appliances,Small Food Processor,,Small Food Processor,
SMTV,,Small TV,,,
HEATER,,Space Heater,,,
SPECBAKE,Kitchen Items,Specialty Baking Set,,Specialty Baking Set,
NKB-0812-01,,Split Narrow King Box Spring,,,
SMIXER,Appliances,Stand Mixer,,Stand Mixer,
TBFAN,,Table Fan,,,
SKU-0716-03,,Table Lamp,,,
TEASET,Kitchen Items,Tea Set,,Tea Set,
SE-0729-01,,Three Piece Sectional,,,
THROWBLANKETS,Household Items,Throw Blankets,,Throw Blankets,
TOASTER,Appliances,Toaster,,Toaster,
TOVEN,Appliances,Toaster Oven,,Toaster Oven,
TF -0806-09,,Twin Bed Frame,,,
I?T-0820-11,,Two-Step Toddler Stool,,,
VAC,Household Items,Vacuum Cleaner,,Vacuum Cleaner,
WNFAN,,Window Fan,,,
I?T-0820-07,,Wooden High Chairs,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
